id_persona,nombre,edad,puntaje_evaluacion
95,Luis Gomez,63,75123
96,Elena Rodriguez,34,59124
97,Pedro Martinez,22,81458
98,Lucia Rojas,50,34192
99,Jorge Vargas,41,68512
100,Marta Quintero,56,15284
101,Daniel Garcia,37,92415
102,Tatiana Serna,24,47184
103,Andres Hernandez,65,83512
104,Camila Lopez,33,51248
105,Diego Ramirez,46,26195
106,Ana Perez,27,79412
107,Juan Gomez,58,64152
108,Maria Rodriguez,35,13894
109,Carlos Martinez,52,86512
110,Luis Rojas,39,39184
111,Elena Vargas,20,95124
112,Pedro Quintero,61,48512
113,Lucia Garcia,43,72184
114,Jorge Serna,30,25415
115,Marta Hernandez,49,81523
116,Daniel Lopez,25,53184
117,Tatiana Ramirez,55,17415
118,Andres Perez,38,69512
119,Camila Gomez,64,94184
120,Diego Rodriguez,44,32512
121,Ana Martinez,32,85124
122,Juan Rojas,21,58192
123,Maria Vargas,57,41258
124,Carlos Quintero,48,76512
125,Luis Garcia,26,19845
126,Elena Serna,47,93124
127,Pedro Hernandez,36,62184
128,Lucia Lopez,60,28512
129,Jorge Ramirez,23,87415
130,Marta Perez,53,45192
131,Daniel Gomez,41,14582
132,Tatiana Rodriguez,59,71524
133,Andres Vargas,34,96184
134,Camila Quintero,28,54125
135,Diego Martinez,51,82512
136,Ana Rojas,39,37184
137,Juan Garcia,62,69512
138,Maria Serna,24,91845
139,Carlos Hernandez,45,18524
140,Luis Lopez,54,84152
141,Elena Ramirez,31,43195
142,Pedro Perez,63,75184
143,Lucia Gomez,42,26512
144,Jorge Rodriguez,27,98124
145,Marta Martinez,56,51482
146,Daniel Rojas,35,15294
147,Tatiana Vargas,46,89512
148,Andres Quintero,29,63184
149,Camila Garcia,58,47512
150,Diego Serna,40,92184
151,Ana Hernandez,22,74512
152,Juan Lopez,50,31845
153,Maria Ramirez,37,86124
154,Carlos Perez,65,59182
155,Luis Gomez,33,12458
156,Elena Rodriguez,49,95184
157,Pedro Martinez,25,48512
158,Lucia Rojas,61,71295
159,Jorge Vargas,38,25418
160,Marta Quintero,20,83512
161,Daniel Garcia,55,67184
162,Tatiana Serna,43,91524
163,Andres Hernandez,26,19452
164,Camila Lopez,64,54189
165,Diego Ramirez,32,88512
166,Ana Perez,44,35184
167,Juan Gomez,28,76124
168,Maria Rodriguez,57,42158
169,Carlos Martinez,36,97512
170,Luis Rojas,21,61845
171,Elena Vargas,52,14589
172,Pedro Quintero,39,82514
173,Lucia Garcia,60,53184
174,Jorge Serna,47,96125
175,Marta Hernandez,24,38512
176,Daniel Lopez,59,79184
177,Tatiana Ramirez,30,27415
178,Andres Perez,48,65124
179,Camila Gomez,23,13845
180,Diego Rodriguez,51,84512
181,Ana Martinez,34,49184
182,Juan Rojas,63,92514
183,Maria Vargas,41,58125
184,Carlos Quintero,27,71845
185,Luis Garcia,54,36512
186,Elena Serna,35,85194
187,Pedro Hernandez,22,19524
188,Lucia Lopez,45,64185
189,Jorge Ramirez,58,97124
190,Marta Perez,29,41582
191,Daniel Gomez,62,83145
192,Tatiana Rodriguez,38,52184
193,Andres Vargas,25,78512
194,Camila Quintero,56,26194
195,Diego Martinez,40,95184
196,Ana Rojas,31,14852
197,Juan Garcia,49,69124
198,Maria Serna,65,81542
199,Carlos Hernandez,26,37184
200,Luis Lopez,43,94125
201,Elena Ramirez,55,51845
202,Pedro Perez,33,76512
203,Lucia Gomez,21,23418
204,Jorge Rodriguez,46,89154
205,Marta Martinez,37,65184
206,Daniel Rojas,53,42159
207,Tatiana Vargas,28,91845
208,Andres Quintero,64,18524
209,Camila Garcia,42,74185
210,Diego Serna,24,59124
211,Ana Hernandez,51,86145
212,Juan Lopez,36,31852
213,Maria Ramirez,20,93184
214,Carlos Perez,48,68125
215,Luis Gomez,59,25418
216,Elena Rodriguez,32,72184
217,Pedro Martinez,60,49152
218,Lucia Rojas,27,84195
219,Jorge Vargas,52,17584
220,Marta Quintero,39,96124
221,Daniel Garcia,23,54185
222,Tatiana Serna,44,38512
223,Andres Hernandez,61,87194
224,Camila Lopez,30,61845
225,Diego Ramirez,47,92514
226,Ana Perez,25,15482
227,Juan Gomez,57,79184
228,Maria Rodriguez,34,45125
229,Carlos Martinez,63,83145
230,Luis Rojas,29,58194
231,Elena Vargas,41,91524
232,Pedro Quintero,22,36512
233,Lucia Garcia,54,69184
234,Jorge Serna,38,81452
235,Marta Hernandez,56,24185
236,Daniel Lopez,31,95184
237,Tatiana Ramirez,45,52194
238,Andres Perez,26,78125
239,Camila Gomez,49,19584
240,Diego Rodriguez,65,84152
241,Ana Martinez,35,63184
242,Juan Rojas,21,97125
243,Maria Vargas,50,41852
244,Carlos Quintero,33,86194
245,Luis Garcia,62,31485
246,Elena Serna,28,75184
247,Pedro Hernandez,46,59125
248,Lucia Lopez,58,92184
249,Jorge Ramirez,40,18542
250,Marta Perez,24,67195
251,Daniel Gomez,53,89124
252,Tatiana Rodriguez,37,46185
253,Andres Vargas,20,94152
254,Camila Quintero,42,25184
255,Diego Martinez,64,81594
256,Ana Rojas,48,53125
257,Juan Garcia,36,72184
258,Maria Serna,55,96145
259,Carlos Hernandez,27,39185
260,Luis Lopez,44,85124
261,Elena Ramirez,23,14592
262,Pedro Perez,61,79184
263,Lucia Gomez,39,61852
264,Jorge Rodriguez,51,93145
265,Marta Martinez,29,48195
266,Daniel Rojas,47,82514
267,Tatiana Vargas,32,27184
268,Andres Quintero,59,74152
269,Camila Garcia,25,91845
270,Diego Serna,52,56184
271,Ana Hernandez,30,84125
272,Juan Lopez,41,35194
273,Maria Ramirez,63,98152
274,Carlos Perez,34,19584
275,Luis Gomez,22,65124
276,Elena Rodriguez,56,87195
277,Pedro Martinez,45,41852
278,Lucia Rojas,28,95184
279,Jorge Vargas,60,52145
280,Marta Quintero,38,73184
281,Daniel Garcia,54,18592
282,Tatiana Serna,26,89124
283,Andres Hernandez,43,64185
284,Camila Lopez,31,92514
285,Diego Ramirez,65,37184
286,Ana Perez,49,81542
287,Juan Gomez,24,59185
288,Maria Rodriguez,40,96124
289,Carlos Martinez,57,24158
290,Luis Rojas,33,78195
291,Elena Vargas,21,94152
292,Pedro Quintero,50,45184
293,Lucia Garcia,37,83125
294,Jorge Serna,62,61894
295,Marta Hernandez,29,97185
296,Daniel Lopez,46,32145
297,Tatiana Ramirez,27,85194
298,Andres Perez,55,51842
299,Camila Gomez,35,91285
300,Diego Rodriguez,42,16584
301,Ana Martinez,58,74195
302,Juan Rojas,39,98124
303,Maria Vargas,23,49152
304,Carlos Quintero,64,82184
305,Luis Garcia,48,27145
306,Elena Serna,36,95185
307,Pedro Hernandez,20,53124
308,Lucia Lopez,53,86195
309,Jorge Ramirez,44,38514
310,Marta Perez,32,92185
311,Daniel Gomez,61,64152
312,Tatiana Rodriguez,25,19584
313,Andres Vargas,41,87125
314,Camila Quintero,59,71845
315,Diego Martinez,30,94152
316,Ana Rojas,47,52184
317,Juan Garcia,28,89195
318,Maria Serna,52,34158
319,Carlos Hernandez,34,96184
320,Luis Lopez,60,68125
321,Elena Ramirez,22,81594
322,Pedro Perez,45,25184
323,Lucia Gomez,56,93145
324,Jorge Rodriguez,38,47185
325,Marta Martinez,26,85124
326,Daniel Rojas,54,14592
327,Tatiana Vargas,40,79185
328,Andres Quintero,29,98124
329,Camila Garcia,63,51845
330,Diego Serna,33,82194
331,Ana Hernandez,50,36184
332,Juan Lopez,21,95125
333,Maria Ramirez,43,62184
334,Carlos Perez,31,84195
335,Luis Gomez,57,49152
336,Elena Rodriguez,24,97184
337,Pedro Martinez,49,18542
338,Lucia Rojas,37,86125
339,Jorge Vargas,65,53184
340,Marta Quintero,42,91594
341,Daniel Garcia,27,75184
342,Tatiana Serna,58,29145
343,Andres Hernandez,35,94185
344,Camila Lopez,51,67124
345,Diego Ramirez,23,81542
346,Ana Perez,46,38514
347,Juan Gomez,62,96185
348,Maria Rodriguez,28,54125
349,Carlos Martinez,44,83194
350,Luis Rojas,39,17584
351,Elena Vargas,61,92145
352,Pedro Quintero,32,45184
353,Lucia Garcia,25,89152
354,Jorge Serna,55,61895
355,Marta Hernandez,48,98124
356,Daniel Lopez,20,34185
357,Tatiana Ramirez,59,87194
358,Andres Perez,41,52145
359,Camila Gomez,30,95184
360,Diego Rodriguez,53,26185
361,Ana Martinez,26,84125
362,Juan Rojas,47,71894
363,Maria Vargas,60,93152
364,Carlos Quintero,36,48184
365,Luis Garcia,22,96145
366,Elena Serna,54,15892
367,Pedro Hernandez,38,85184
368,Lucia Lopez,64,63125
369,Jorge Ramirez,29,91584
370,Marta Perez,45,39145
371,Daniel Gomez,34,82195
372,Tatiana Rodriguez,52,57184
373,Andres Vargas,24,98145
374,Camila Quintero,43,21854
375,Diego Martinez,63,79185
376,Ana Rojas,31,94125
377,Juan Garcia,56,46184
378,Maria Serna,27,83195
379,Carlos Hernandez,40,65124
380,Luis Lopez,21,97184
381,Elena Ramirez,49,58145
382,Pedro Perez,33,81592
383,Lucia Gomez,65,34185
384,Jorge Rodriguez,25,95124
385,Marta Martinez,50,72184
386,Daniel Rojas,37,89145
387,Tatiana Vargas,23,16584
388,Andres Quintero,58,92185
389,Camila Garcia,41,53124
390,Diego Serna,62,86194
391,Ana Hernandez,28,49185
392,Juan Lopez,44,91524
393,Maria Ramirez,57,28145
394,Carlos Perez,35,87184
395,Luis Gomez,20,96125
396,Elena Rodriguez,51,64185
397,Pedro Martinez,46,83145
398,Lucia Rojas,22,98124
399,Jorge Vargas,55,35184
400,Marta Quintero,39,94152
401,Daniel Garcia,61,71895
402,Tatiana Serna,32,85124
403,Andres Hernandez,26,52184
404,Camila Lopez,59,93185
405,Diego Ramirez,48,19542
406,Ana Perez,24,82145
407,Juan Gomez,53,67184
408,Maria Rodriguez,30,95124
409,Carlos Martinez,47,41852
410,Luis Rojas,64,89185
411,Elena Vargas,29,36184
412,Pedro Quintero,42,97145
413,Lucia Garcia,60,58194
414,Jorge Serna,36,84125
415,Marta Hernandez,25,91584
416,Daniel Lopez,54,75184
417,Tatiana Ramirez,31,23485
418,Andres Perez,40,96124
419,Camila Gomez,63,49152
420,Diego Rodriguez,27,83195
421,Ana Martinez,45,62184
422,Juan Rojas,21,98145
423,Maria Vargas,52,37184
424,Carlos Quintero,38,85124
425,Luis Garcia,56,14592
426,Elena Serna,23,94185
427,Pedro Hernandez,49,71845
428,Lucia Lopez,34,92152
429,Jorge Ramirez,65,56184
430,Marta Perez,28,81542
431,Daniel Gomez,57,39185
432,Tatiana Rodriguez,41,97124
433,Andres Vargas,22,68145
434,Camila Quintero,50,84195
435,Diego Martinez,33,25184
436,Ana Rojas,61,93152
437,Juan Garcia,44,51845
438,Maria Serna,26,89124
439,Carlos Hernandez,58,76185
440,Luis Lopez,35,95184
441,Elena Ramirez,20,42152
442,Pedro Perez,46,83194
443,Lucia Gomez,62,19584
444,Jorge Rodriguez,37,96145
445,Marta Martinez,51,64185
446,Daniel Rojas,24,87124
447,Tatiana Vargas,43,31852
448,Andres Quintero,55,92184
449,Camila Garcia,29,85145
450,Diego Serna,48,59184
451,Ana Hernandez,64,94152
452,Juan Lopez,32,28145
453,Maria Ramirez,25,81594
454,Carlos Perez,59,73185
455,Luis Gomez,40,98124
456,Elena Rodriguez,27,46184
457,Pedro Martinez,53,91525
458,Lucia Rojas,30,65184
459,Jorge Vargas,47,84195
460,Marta Quintero,21,97145
461,Daniel Garcia,60,39184
462,Tatiana Serna,36,82152
463,Andres Hernandez,54,95184
464,Camila Lopez,22,57145
465,Diego Ramirez,45,86194
466,Ana Perez,63,14582
467,Juan Gomez,31,93185
468,Maria Rodriguez,28,71845
469,Carlos Martinez,49,89124
470,Luis Rojas,38,52184
471,Elena Vargas,26,96152
472,Pedro Quintero,56,48195
473,Lucia Garcia,41,85184
474,Jorge Serna,23,92145
475,Marta Hernandez,58,63184
476,Daniel Lopez,34,81524
477,Tatiana Ramirez,29,94185
478,Andres Perez,61,35142
479,Camila Gomez,42,87194
480,Diego Rodriguez,25,98125
481,Ana Martinez,52,79184
482,Juan Rojas,35,41582
483,Maria Vargas,65,91524
484,Carlos Quintero,20,83185
485,Luis Garcia,44,56145
486,Elena Serna,39,95184
487,Pedro Hernandez,62,29152
488,Lucia Lopez,27,84195
489,Jorge Ramirez,50,97124
490,Marta Perez,33,68145
491,Daniel Gomez,55,82184
492,Tatiana Rodriguez,24,15894
493,Andres Vargas,46,96152
494,Camila Quintero,31,85124
495,Diego Martinez,59,74185
496,Ana Rojas,22,93184
497,Juan Garcia,48,51842
498,Maria Serna,37,89152
499,Carlos Hernandez,64,38145
500,Luis Lopez,28,92184
501,Elena Ramirez,51,81594
502,Pedro Perez,40,62185
503,Lucia Gomez,26,94125
504,Jorge Rodriguez,57,47184
505,Marta Martinez,32,86195
506,Daniel Rojas,21,98145
507,Tatiana Vargas,43,73184
508,Andres Quintero,60,59125
509,Camila Garcia,36,91584
510,Diego Serna,53,24185
511,Ana Hernandez,29,85145
512,Juan Lopez,47,95184
513,Maria Ramirez,25,41524
514,Carlos Perez,63,83195
515,Luis Gomez,38,97184
516,Elena Rodriguez,23,68145
517,Pedro Martinez,54,82152
518,Lucia Rojas,30,96184
519,Jorge Vargas,49,56185
520,Marta Quintero,34,84124
521,Daniel Garcia,61,19582
522,Tatiana Serna,45,91525
523,Andres Hernandez,27,89184
524,Camila Lopez,58,75145
525,Diego Ramirez,42,93185
526,Ana Perez,20,86124
527,Juan Gomez,56,32184
528,Maria Rodriguez,39,94152
529,Carlos Martinez,22,81595
530,Luis Rojas,52,98145
531,Elena Vargas,35,47184
532,Pedro Quintero,65,85125
533,Lucia Garcia,28,92184
534,Jorge Serna,41,63145
535,Marta Hernandez,50,95185
536,Daniel Lopez,31,84194
537,Tatiana Ramirez,62,29152
538,Andres Perez,24,97184
539,Camila Gomez,46,58145
540,Diego Rodriguez,37,83125
541,Ana Martinez,55,91584
542,Juan Rojas,26,74185
543,Maria Vargas,59,82145
544,Carlos Quintero,33,96152
545,Luis Garcia,48,41584
546,Elena Serna,29,89185
547,Pedro Hernandez,53,94124
548,Lucia Lopez,21,65184
549,Jorge Ramirez,44,85195
550,Marta Perez,60,38145
551,Daniel Gomez,36,93184
552,Tatiana Rodriguez,25,81525
553,Andres Vargas,47,98145
554,Camila Quintero,32,52184
555,Diego Martinez,64,86194
556,Ana Rojas,23,92152
557,Juan Garcia,57,45184
558,Maria Serna,40,95185
559,Carlos Hernandez,28,73145
560,Luis Lopez,51,84124
561,Elena Ramirez,42,97184
562,Pedro Perez,27,61852
563,Lucia Gomez,63,83195
564,Jorge Rodriguez,34,91584
565,Marta Martinez,49,28145
566,Daniel Rojas,22,96152
567,Tatiana Vargas,58,85184
568,Andres Quintero,39,49185
569,Camila Garcia,24,94124
570,Diego Serna,56,82145
571,Ana Hernandez,31,98185
572,Juan Lopez,45,57184
573,Maria Ramirez,20,81594
574,Carlos Perez,61,93145
575,Luis Gomez,38,46184
576,Elena Rodriguez,26,89152
577,Pedro Martinez,54,95184
578,Lucia Rojas,35,72185
579,Jorge Vargas,50,84124
580,Marta Quintero,29,97145
581,Daniel Garcia,43,86194
582,Tatiana Serna,62,35184
583,Andres Hernandez,25,92185
584,Camila Lopez,55,83152
585,Jorge Serna,37,91584
586,Juan Vargas,25,41984
587,Jorge Serna,54,11551
588,Andres Ramirez,24,23229
589,Tatiana Rodriguez,40,32943
590,Carlos Lopez,34,18604
591,Lucia Garcia,41,51848
592,Luis Gomez,45,73862
593,Camila Rojas,24,67222
594,Juan Gomez,47,63081
595,Lucia Serna,19,93372
596,Diego Vargas,40,28964
597,Tatiana Garcia,64,88697
598,Lucia Garcia,21,24336
599,Luis Rojas,29,84062
600,Camila Martinez,32,81729
601,Ana Rodriguez,60,40670
602,Maria Hernandez,56,10436
603,Pedro Ramirez,48,92469
604,Andres Vargas,63,57417
605,Jorge Lopez,62,59390
606,Marta Vargas,30,24250
607,Diego Gomez,58,74798
608,Elena Gomez,34,76537
609,Jorge Gomez,62,95194
610,Luis Martinez,63,78385
611,Jorge Quintero,61,35784
612,Diego Rodriguez,57,83745
613,Daniel Ramirez,28,17761
614,Luis Martinez,54,75968
615,Diego Perez,38,88816
616,Luis Martinez,21,22120
617,Juan Rojas,40,59752
618,Diego Rodriguez,62,23813
619,Andres Perez,65,72734
620,Tatiana Quintero,33,19404
621,Pedro Hernandez,64,50665
622,Marta Martinez,58,28499
623,Pedro Garcia,45,45219
624,Diego Quintero,55,12055
625,Camila Perez,59,89855
626,Tatiana Hernandez,60,69526
627,Jorge Martinez,31,26625
628,Diego Garcia,29,88477
629,Daniel Martinez,29,73061
630,Luis Serna,47,29175
631,Carlos Perez,31,44376
632,Jorge Vargas,64,57717
633,Tatiana Martinez,21,48024
634,Tatiana Lopez,37,99962
635,Diego Vargas,18,61552
636,Luis Hernandez,41,85387
637,Lucia Vargas,44,89789
638,Carlos Vargas,60,20170
639,Jorge Serna,25,71817
640,Diego Martinez,30,81323
641,Ana Vargas,60,32654
642,Lucia Gomez,56,12697
643,Luis Martinez,31,69750
644,Maria Gomez,42,89517
645,Daniel Rodriguez,35,38866
646,Diego Vargas,62,10798
647,Marta Ramirez,50,72702
648,Ana Rojas,21,79395
649,Carlos Hernandez,46,77611
650,Maria Hernandez,36,69449
651,Lucia Martinez,30,66183
652,Diego Hernandez,64,48513
653,Camila Gomez,21,62034
654,Luis Rodriguez,44,26656
655,Ana Gomez,24,62864
656,Tatiana Vargas,61,68868
657,Maria Martinez,22,88929
658,Camila Serna,19,57882
659,Pedro Quintero,44,43075
660,Maria Perez,37,29892
661,Diego Serna,19,38695
662,Marta Garcia,30,85495
663,Carlos Gomez,23,22982
664,Elena Vargas,18,94838
665,Daniel Gomez,23,76770
666,Jorge Garcia,46,80074
667,Andres Perez,47,60035
668,Tatiana Garcia,27,84541
669,Elena Hernandez,54,45327
670,Carlos Lopez,40,33516
671,Juan Garcia,21,76260
672,Juan Martinez,42,41601
673,Diego Garcia,37,71971
674,Marta Garcia,51,21569
675,Elena Garcia,47,41886
676,Elena Rojas,64,17941
677,Jorge Quintero,55,28173
678,Camila Ramirez,62,61989
679,Diego Gomez,27,57707
680,Tatiana Vargas,30,47908
681,Pedro Ramirez,49,51427
682,Daniel Gomez,60,81888
683,Carlos Serna,51,26137
684,Daniel Hernandez,26,15656
685,Jorge Quintero,35,45060
686,Maria Rojas,24,57837
687,Carlos Garcia,18,30591
688,Tatiana Perez,33,25914
689,Andres Gomez,61,18558
690,Lucia Gomez,49,76956
691,Luis Lopez,47,39957
692,Juan Quintero,19,96748
693,Luis Quintero,36,54763
694,Diego Gomez,41,76053
695,Luis Vargas,56,15068
696,Pedro Lopez,59,62976
697,Luis Serna,64,65233
698,Camila Martinez,54,53887
699,Carlos Rojas,32,47196
700,Maria Serna,54,48730
701,Tatiana Serna,41,44192
702,Jorge Ramirez,23,28947
703,Juan Rodriguez,19,10030
704,Elena Vargas,21,83862
705,Maria Vargas,42,64457
706,Pedro Rodriguez,34,41396
707,Carlos Garcia,52,11384
708,Juan Rojas,54,81564
709,Tatiana Serna,48,63743
710,Juan Vargas,61,27276
711,Pedro Vargas,59,14534
712,Pedro Gomez,56,85603
713,Daniel Hernandez,31,28506
714,Camila Hernandez,38,22447
715,Elena Martinez,29,55134
716,Lucia Vargas,24,59176
717,Ana Rojas,20,12488
718,Carlos Rojas,62,12172
719,Jorge Rodriguez,30,64384
720,Ana Gomez,46,44767
721,Tatiana Hernandez,44,74332
722,Juan Serna,53,94858
723,Juan Martinez,53,94242
724,Lucia Ramirez,65,23187
725,Camila Gomez,38,96821
726,Pedro Rodriguez,64,59840
727,Elena Quintero,58,16993
728,Lucia Rodriguez,55,94082
729,Luis Rodriguez,41,29950
730,Tatiana Garcia,28,54189
731,Andres Vargas,22,55770
732,Marta Ramirez,37,22850
733,Daniel Hernandez,60,44720
734,Andres Perez,50,85753
735,Tatiana Quintero,27,92299
736,Daniel Lopez,47,72131
737,Elena Lopez,60,43874
738,Jorge Quintero,38,56469
739,Marta Quintero,46,19357
740,Luis Rojas,34,27059
741,Andres Rojas,50,12019
742,Pedro Martinez,21,95977
743,Daniel Martinez,41,41872
744,Camila Garcia,42,21323
745,Carlos Perez,62,97502
746,Maria Garcia,51,60574
747,Maria Garcia,18,18528
748,Daniel Serna,42,20867
749,Elena Rodriguez,51,80535
750,Camila Garcia,31,17387
751,Luis Quintero,46,12850
752,Pedro Lopez,25,70591
753,Luis Perez,45,57976
754,Tatiana Garcia,31,68547
755,Pedro Quintero,50,23447
756,Maria Ramirez,42,10403
757,Ana Quintero,38,82626
758,Jorge Quintero,49,15652
759,Camila Quintero,54,81046
760,Carlos Lopez,62,14607
761,Diego Hernandez,65,11548
762,Carlos Ramirez,59,66807
763,Carlos Quintero,22,42700
764,Daniel Perez,23,85066
765,Marta Rodriguez,54,58627
766,Maria Rojas,25,87115
767,Elena Garcia,33,32308
768,Lucia Ramirez,40,32243
769,Diego Lopez,64,34074
770,Carlos Martinez,33,37731
771,Daniel Hernandez,60,82780
772,Juan Hernandez,29,46189
773,Juan Garcia,38,68867
774,Marta Quintero,55,21626
775,Camila Martinez,57,79881
776,Elena Rodriguez,59,90377
777,Pedro Perez,44,21206
778,Elena Garcia,56,68628
779,Luis Vargas,50,50006
780,Camila Perez,56,53769
781,Andres Perez,48,72475
782,Marta Vargas,21,54286
783,Maria Rodriguez,22,74276
784,Daniel Serna,46,62807
785,Diego Serna,27,15318
786,Maria Lopez,47,38720
787,Ana Vargas,59,96858
788,Pedro Ramirez,33,67331
789,Daniel Rodriguez,25,49274
790,Tatiana Vargas,42,23850
791,Juan Ramirez,19,62415
792,Diego Quintero,34,36355
793,Ana Gomez,37,26569
794,Ana Rojas,57,67911
795,Lucia Serna,36,95018
796,Maria Lopez,37,45427
797,Marta Ramirez,58,41283
798,Luis Martinez,32,35946
799,Carlos Ramirez,51,51626
800,Luis Rodriguez,26,75475
801,Pedro Hernandez,50,47225
802,Maria Perez,45,98188
803,Carlos Perez,20,92128
804,Tatiana Quintero,53,25248
805,Diego Vargas,19,37833
806,Lucia Rojas,28,67799
807,Marta Lopez,43,67759
808,Carlos Martinez,49,45399
809,Juan Martinez,23,96677
810,Andres Vargas,37,61247
811,Jorge Serna,40,61032
812,Andres Quintero,33,50507
813,Ana Serna,41,67813
814,Pedro Garcia,23,31798
815,Luis Vargas,26,89970
816,Ana Serna,45,10777
817,Marta Ramirez,30,11556
818,Jorge Vargas,64,89393
819,Camila Lopez,39,40164
820,Ana Rojas,21,37604
821,Tatiana Perez,43,65785
822,Daniel Rodriguez,36,21036
823,Maria Rodriguez,46,86201
824,Ana Garcia,63,91106
825,Diego Martinez,65,55135
826,Pedro Quintero,45,39761
827,Marta Perez,65,43465
828,Maria Rodriguez,42,50920
829,Carlos Serna,35,67641
830,Daniel Quintero,22,34085
831,Carlos Lopez,64,81715
832,Jorge Gomez,64,85894
833,Tatiana Vargas,48,70662
834,Andres Perez,58,40243
835,Jorge Vargas,32,57984
836,Maria Quintero,19,70139
837,Daniel Serna,34,67775
838,Camila Ramirez,32,17639
839,Maria Quintero,22,74230
840,Jorge Vargas,48,43478
841,Ana Martinez,47,43871
842,Carlos Rodriguez,37,71615
843,Lucia Serna,24,98710
844,Marta Hernandez,22,47024
845,Carlos Martinez,18,54437
846,Elena Lopez,38,51996
847,Ana Perez,56,89812
848,Camila Serna,35,74193
849,Jorge Rodriguez,65,10090
850,Pedro Ramirez,62,36757
851,Pedro Quintero,40,12050
852,Ana Rojas,40,65693
853,Daniel Ramirez,49,57889
854,Ana Hernandez,38,33062
855,Marta Rojas,64,73278
856,Luis Rojas,53,98340
857,Pedro Serna,37,36640
858,Elena Rojas,64,55171
859,Diego Perez,30,65348
860,Daniel Rodriguez,45,87133
861,Daniel Garcia,41,22957
862,Juan Quintero,64,16170
863,Lucia Ramirez,57,66295
864,Juan Hernandez,62,91523
865,Marta Martinez,31,64633
866,Lucia Rojas,25,12897
867,Jorge Lopez,27,62072
868,Lucia Rodriguez,18,24866
869,Elena Hernandez,45,57828
870,Andres Hernandez,33,14821
871,Camila Serna,25,78488
872,Marta Serna,22,87778
873,Carlos Gomez,41,91794
874,Camila Martinez,57,41331
875,Jorge Vargas,46,18837
876,Lucia Lopez,26,41158
877,Maria Rojas,34,89710
878,Carlos Garcia,22,20434
879,Camila Garcia,35,55292
880,Marta Serna,52,47251
881,Jorge Ramirez,60,80271
882,Maria Rodriguez,35,60823
883,Tatiana Perez,36,96904
884,Carlos Martinez,51,30417
885,Camila Garcia,64,55439
886,Lucia Rodriguez,32,54656
887,Andres Serna,25,48400
888,Jorge Rojas,57,85057
889,Pedro Ramirez,51,20253
890,Jorge Quintero,35,41136
891,Andres Rojas,42,90866
892,Elena Quintero,31,64419
